"","PERIDNUM","A_AGE","A_SEX","A_FNLWGT","A_ERNLWT","AGI","HRSWK","WSAL_VAL"
"1",3.10201e+21,8,2,345130,0,0,0,0
"2",2.02102e+20,4,2,145523,0,0,0,0
"3",3.00118e+21,45,1,0,0,0,60,10880
"4",1.07153e+21,1,1,0,0,0,0,0
"5",3.91081e+21,12,2,0,0,0,0,0
"6",3.4103e+21,25,1,371285,0,96051,40,96000
"7",7.999e+21,50,2,357214,0,0,40,92000
"8",8.73101e+21,67,1,47071,189718,2,0,0
"9",3.09351e+21,65,2,338968,1361079,0,0,0
"10",4.97961e+21,49,1,0,0,0,50,150000
"11",5.01214e+21,12,1,0,0,0,0,0
"12",5.7399e+21,38,2,271421,0,55400,40,50000
"13",1.69051e+21,2,2,61514,0,0,0,0
"14",6.07011e+21,4,2,0,0,0,0,0
"15",1.91566e+21,32,2,0,0,35125,44,34810
"16",6.41132e+21,65,1,405283,0,5080,24,5000
"17",1.16714e+21,77,2,358978,1426451,16644,20,0
"18",5.10006e+21,27,1,666972,0,46000,40,46000
"19",8.10382e+18,78,1,427092,0,0,0,0
"20",1.41465e+21,33,2,37192,0,0,40,59000
"21",3.10005e+21,42,1,0,0,24004,45,24000
"22",9.01261e+21,25,1,507328,0,0,0,0
"23",6.10397e+18,10,1,305891,0,0,0,0
"24",9.60513e+21,17,1,238980,0,0,0,0
"25",1.2359e+21,68,2,418672,1692107,0,0,0
"26",3.66076e+21,18,1,101000,0,0,0,0
"27",1.73663e+21,63,2,339487,0,0,40,75000
"28",1.06021e+21,18,1,209034,870266,0,0,0
"29",7.48492e+21,10,1,0,0,0,0,0
"30",6.10001e+21,55,1,179845,721752,0,40,60000
"31",8.76945e+21,31,1,40735,0,0,40,110000
"32",5.74647e+21,61,2,0,0,103027,40,30000
"33",3.05127e+21,85,2,39823,160816,81626,0,0
"34",9.61958e+21,80,1,77386,0,0,0,0
"35",6.11268e+18,73,1,387840,0,0,0,0
"36",4.02103e+20,39,2,0,0,118735,24,38000
"37",1.33143e+21,10,2,93276,0,0,0,0
"38",5.20061e+21,42,1,0,0,0,50,15001
"39",5.0149e+21,46,1,242701,0,36004,45,36000
"40",1.14021e+21,62,1,53655,0,167043,55,138000
"41",1.10008e+21,65,1,188420,0,0,40,55000
"42",4.0927e+21,63,1,319923,0,0,0,0
"43",1.21192e+21,13,1,0,0,0,0,0
"44",3.10307e+21,4,1,376385,0,0,0,0
"45",1.09727e+21,0,1,0,0,0,0,0
"46",1.02119e+20,48,2,423584,1680687,27000,48,27000
"47",4.2604e+21,53,2,547425,2183765,40000,40,40000
